The difference between 9 times the age of Charles now and 19 times Julian 43 years from now will be -1516,9
The difference between 14 times the age of Christina 13 years from now and 16 times Robert's age 13 years hence will be -72,14
The difference between 16 times the age of Milton 23 years from now and 19 times that of Kelly 23 years from now will be -202,16
The product of 18 times Richard's age 40 years from now and 18 times that of Donald at present is 395928,18
The sum of John's age at present and 8 times that of John at present is 86,86
The difference between 7 times Patricia's age 2 years from now and 14 times Mary 2 years hence will be -399,7
The ratio between Cornell's age now and Theresa 15 years from now will be 57 : 90,1
The difference between 10 times the age of Darlene 7 years in the past and 11 times that of Laura's age 32 years from now will be -771,10
The difference between 2 times Dusty's age 43 years from now and 11 times the age of Arlene 9 years in the past was -126,2
12 times the age of Pauline 12 years from now will be 28 times the age of Daniel at present,12
195 times the age of Evelyn 3 years in the past was 81 times that of Johnny's age 24 years hence,195
The difference between 4 times the age of Julia now and 3 times that of Walter's age 32 years in the past was 130,4
The ratio between the age of Pamela 28 years from now and Michelle 7 years in the past was 9 by 6,6
38 times the age of Adam 4 years ago was 3 times that of Anna 4 years in the past,38
The ratio between the age of Frances 11 years hence and Douglas's age 23 years ago was 42 by 5,5
The product of 10 times the age of William 29 years hence and 2 times Darryl 29 years hence will be 40300,10
The sum of 15 times the age of Scott 3 years ago and 3 times Martha 1 years from now will be 411,15
9 times the age of Gregory 7 years from now will be 66 times that of Gregory now,9
The ratio between Kenneth's age 3 years ago and that of Cordell 3 years in the past was 102 by 3,3
The product of 4 times the age of Dwight now and 9 times the age of Anna at present is 23184,4
2 times Marie's age 25 years hence will be 4 times the age of Matthew at present,NaN
43 times Michael's age now is 38 times the age of Robert 31 years hence,NaN
232 times the age of Roxanne 12 years in the past was 108 times the age of Opal 11 years from now,NaN
The difference between 13 times George's age 4 years in the past and 12 times Damon 4 years ago was 424,NaN
The product of 16 times Cheryl's age now and 5 times Charles 44 years from now will be 78400,NaN
The difference between 11 times the age of Hilda 5 years ago and 5 times the age of Edward 5 years in the past was 280,NaN
The ratio between Maria's age 32 years hence and Lourie 4 years ago was 237 : 72,NaN
42 times Matthew's age at present is 2 times Lynda 1 years ago,NaN
The sum of 7 times Annie's age now and 17 times that of Dorothy's age 43 years from now will be 1194,NaN
The ratio between the age of Daniel 31 years hence and that of Maurice's age now is 70 : 37,NaN
The difference between 9 times Timothy's age 5 years from now and 7 times the age of Katrina 5 years from now will be 379,NaN
68 times the age of Chester 19 years hence will be 42 times that of Dan's age 19 years from now,NaN
The sum of 7 times the age of Karl at present and 5 times Marion's age at present is 298,NaN
